identifier	pos	stem	morphology	number	case	psx	figurative	grabbing	temporal	existential	non-finite	comment	category_based_on_finnish	meaning_fin	motion_predicate_lemma	predicate	rel_nouns_noun_finnish	rel_nouns_noun?	form	sentence
0543	ADP	кост	кост-ӧд	sg	prl	FALSE		TRUE	NA	NA	NA	NA	Tila	hankaamme käden välistä	NA	ниртам	käsi	ки	костӧд	Ниртам сійӧ пемыд мусӧ ки КОСТӦД;
0504	NOUN	нерв	нерв-ъяс-ӧд	pl	prl	FALSE		NA	NA	NA	NA	Väylä	Väylä	menee hermoja pitkin	мунны	мунӧ	NA	NA	нервъясӧд	НЕРВЪЯСӦД мунӧ юр вемӧ ставтор йывсьыс ортсысянь: ки-коксянь, быдласянь.
0279	ADP	вужй	вужй-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	NA	NA	Tila	täytyy painaa kämmenellä (lehmän) nännin juuresta	NA	колӧ топӧдны	nänni	нёнь	вужйӧдыс	Кимӧдзнад колӧ лысьтыны со кыдзи: первой колӧ топӧдны певнад, кимӧдзнад нёнь ВУЖЙӦДЫС.
0284	ADP	шӧр	шӧр-ӧд	sg	prl	FALSE		TRUE	NA	NA	NA	NA	NA	sitovat telineen eteen … ja telineen keskeltä	NA	кӧртавлысьӧны	teline	стойка	шӧрӧд	Стойкаяс кӧртавлысьӧны платформа вомӧнногыс кыклаті: стойка ШӦРӦД да вылысӧдыс.
0304	ADP	ув	ув-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	pitävät leuan alta	NA	кутӧны	leuka	тшӧка	увтіыс	Медым вӧлыс омӧльджыка бергаліс, кутӧны поводсӧ дзик тшӧка УВТІЫС.
0312	NOUN	кок	кок-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	NA	NA	NA	jalasta vetäneet	кыскавны	кыскалӧмаӧсь	NA	NA	кокӧдыс	Сэсся, мед оз горзы, сюйӧмаӧсь сылы вомас чышъян да КОКӦДЫС кыскалӧмаӧсь джодж кузя.
0544	NOUN	ки	ки-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	NA	NA	NA	veti kädestä	нуӧдны	нуӧдіс	NA	NA	киӧдыс	Доктор нуӧдіс Машаӧс КИӦДЫС микроскоп дінӧ да тшӧктіс сылы видзӧдлыны сэтчӧ.
0021	NOUN	кӧвй	кӧвй-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	NA	NA	NA	ota (pallo) narusta	босьтны	босьт	NA	NA	кӧвйӧдыс	— Ӧні босьт сярсӧ КӦВЙӦДЫС, — тшӧктіс профессор, — сувт чужӧмнад лампаланьыс да кут сярсӧ сідз, мед сійӧ вӧлі синма-лампаа костас.
0264	NOUN	кок	кок-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	NA	NA	NA	täytyy pitää jalasta	NA	колӧ кутны	NA	NA	кокӧдыс	Медым мерайтны лы костъяссӧ, курӧгсӧ колӧ босьтны шуйга киӧ мышладортіыс да чорыда кутны сійӧс КОКӦДЫС, а юрсӧ да бордсӧ сійӧ жӧ киад гырддзанад дзебны.
0302	NOUN	за	за-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	TRUE	NA	Tila	varresta pitäen	NA	кутӧмӧн	NA	NA	заӧдыс	Картупель воӧмсӧ позьӧ тӧдмавны позтыр сертиыс, колӧ кодйыны бурджык позтыр да пыркнитны ЗАӦДЫС кутӧмӧн.
0303	NOUN	ки	ки-яс-ӧд-ыс	pl	prl	TRUE		TRUE	NA	NA	TRUE	NA	NA	käsistä pitäen	NA	кутӧмӧн	NA	NA	киясӧдыс	Ветлӧдлыны КИЯСӦДЫС кутӧмӧн — 10–11 тӧлысьӧн.
0426	NOUN	чышъян	чышъян-ӧд	sg	prl	FALSE		TRUE	NA	NA	NA	NA	NA	maalaa … ja sitten pyyhkeellä	NA	мавтышт	NA	NA	чышъянӧд	Бырӧдны со кыдзи: юрсӧ кагаыдлысь выяв — мавтышт выя кинад (выйыд медым сӧстӧм), сэсся ЧЫШЪЯНӦД.
0541	NOUN	пель	пель-ӧд	sg	prl	FALSE		TRUE	NA	NA	NA	NA	NA	kiskoi korvasta	NA	нетшкис	NA	NA	пельӧд	ПЕЛЬӦД нетшкис, шуӧ: «Таысь ещӧ тэнӧ омӧльяс люкаласны.
0564	NOUN	пель	пель-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	NA	NA	NA	ei pidä ottaa korvasta	NA	оз ков босьтны	NA	NA	пельӧдыс	Тыра энь кроликӧс ПЕЛЬӦДЫС босьтны оз ков, сэки сійӧ вермӧ регыдӧн доймыны да рушкуяссьыс пиянсӧ дойдны, а овлӧ и сідз, мый частӧ и кулавлӧны асьныс.
0695	NOUN	шӧр	шӧр-ӧд-ыс	sg	prl	TRUE		TRUE	NA	NA	TRUE	NA	Tila	keskeltä painaminen	NA	топӧдыштӧм	NA	NA	шӧрӧдыс	Маша аддзис сэтысь уна-уна быттьӧ посньыдик, вӧсньыдик, ШӦРӦДЫС топӧдыштӧм преникъяс. «Тайӧ и эм гӧрд торъясыд вирад», — шуис докторыс.
0587	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Tila	merkitsee 15-20 cm savikerroksen päältä (?)	NA	пасйысьӧ	15–20 cm paksu savikerros	15–20 см сёя слӧй	вывті	Медкокньыд вӧчны со кыдзи: пыдӧсыс пасйысьӧ булыжникӧн, изйӧн либӧ 15–20 см сёя слӧй ВЫВТІ.
0260	ADP	сай	сай-ті	sg	tra	FALSE		NA	NA	NA	NA	Väylä (mitta)	Väylä	täytyy leikata 6 cm asti	NA	колӧ вундыны	6 cm	6 см	сайті	Гӧг вужйыс кӧ абу усьӧма, колӧ вундыны кучиксяньыс 6 см САЙТІ.
0743	ADP	сер	сер-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	NA	"""(oppineiden ihmisten )laskujen mukaan"""	NA	NA	lasku	арталӧм	серті	Велӧдчӧм йӧз арталӧм СЕРТІ ӧти гут вермӧ кӧлавны кокъясас 6 миллион микробӧдз.
0484	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	meni itsensä vierestä (?)	мунны	мунліс	itse	ас	вывті	Менам олӧмын виналӧн омӧльыс ёна ас ВЫВТІ мунліс, да верма йӧзӧдны сійӧс, мед отсавны мукӧд семьяысь бырӧдны татшӧм торъяссӧ.
0498	ADP	выв	выв-ті-ныс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	se menee omalta kohdalta	мунны	мунӧ	itse	ас	вывтіныс	Юысь мужиклӧн бабаыс да челядьыс медся ёна тӧдӧны вина юӧм помысь лёкъяссӧ, ас ВЫВТІНЫС сійӧ мунӧ да.
